"","country","year","upop"
"1","Aruba","X1960",50.776
"2","Andorra","X1960",58.45
"3","Afghanistan","X1960",8.221
"4","Angola","X1960",10.435
"5","Albania","X1960",30.705
"6","Arab World","X1960",31.29483415
"7","United Arab Emirates","X1960",73.5
"8","Argentina","X1960",73.611
"9","Armenia","X1960",51.275
"10","American Samoa","X1960",66.211
"11","Antigua and Barbuda","X1960",39.656
"12","Australia","X1960",81.529
"13","Austria","X1960",64.72
"14","Azerbaijan","X1960",52.663
"15","Burundi","X1960",2.077
"16","Belgium","X1960",92.46
"17","Benin","X1960",9.275
"18","Burkina Faso","X1960",4.7
"19","Bangladesh","X1960",5.135
"20","Bulgaria","X1960",37.1
"21","Bahrain","X1960",82.32
"22","Bahamas, The","X1960",59.712
"23","Bosnia and Herzegovina","X1960",19.04
"24","Belarus","X1960",32.401
"25","Belize","X1960",54.028
"26","Bermuda","X1960",100
"27","Bolivia","X1960",36.762
"28","Brazil","X1960",46.139
"29","Barbados","X1960",36.777
"30","Brunei Darussalam","X1960",43.401
"31","Bhutan","X1960",3.596
"32","Botswana","X1960",3.06
"33","Central African Republic","X1960",20.1
"34","Canada","X1960",69.061
"35","Central Europe and the Baltics","X1960",44.50792114
"36","Switzerland","X1960",51.019
"37","Channel Islands","X1960",38.7
"38","Chile","X1960",67.836
"39","China","X1960",16.203
"40","Cote d'Ivoire","X1960",17.679
"41","Cameroon","X1960",13.937
"42","Congo, Rep.","X1960",31.601
"43","Colombia","X1960",45.033
"44","Comoros","X1960",12.551
"45","Cabo Verde","X1960",16.679
"46","Costa Rica","X1960",34.254
"47","Caribbean small states","X1960",31.59748985
"48","Cuba","X1960",58.401
"49","Curacao","X1960",74.71
"50","Cayman Islands","X1960",100
"51","Cyprus","X1960",35.628
"52","Czech Republic","X1960",59.548
"53","Germany","X1960",71.384
"54","Djibouti","X1960",50.325
"55","Dominica","X1960",37.846
"56","Denmark","X1960",73.687
"57","Dominican Republic","X1960",30.229
"58","Algeria","X1960",30.51
"59","East Asia & Pacific (excluding high income)","X1960",16.91767885
"60","Early-demographic dividend","X1960",22.94991999
"61","East Asia & Pacific","X1960",22.47146528
"62","Europe & Central Asia (excluding high income)","X1960",44.91347807
"63","Europe & Central Asia","X1960",55.38006862
"64","Ecuador","X1960",33.878
"65","Egypt, Arab Rep.","X1960",37.864
"66","Euro area","X1960",62.0969469
"67","Eritrea","X1960",9.751
